name,stars,address,cadena,tarifa,price,hotel_url
E Rueda,4,"CL Calle Independecia, Esquina Jose Maria Agramonte, S/N Ciego de Ávila",Cubanacan,CP,"USD40,00",
Mojito,4,"AV Avenida de los Hoteles, S/N Cayo Coco",Cubanacan,Todo Incluido,"USD54,00",
Sol Cayo Coco,4,"Jardines del Rey, s/n Ciego De Avila",Meliá,All inclusive,"USD75,94",
TRYP Cayo Coco,4,Jardines Del Rey Moron Ciego De Avila,Meliá,All inclusive,"USD76,03",
Meliá Jardines del Rey,5,"Highway to Cayo Guillermo km 9, Flamenco Beach, Cayo Coco Ciego De Avila",Meliá,All inclusive,"USD105,70",
Meliá Cayo Coco,0,Jardines del Rey Ciego De Avila,Meliá,All inclusive,"USD146,43",
Hotel Sitio La Güira,2,"Cayo Coco, Cuba Sitio La Guira Ciego De Avila",Islazul,,No disponible,
Hotel Morón,2,"Avenida de Tarafa, Morón, Ciego de Ávila Ciego De Avila",Islazul,,No disponible,
Hotel San Fernando,2,"Avenida de Tarafa, Morón, Ciego de Ávila, Cuba Ciego De Avila",Islazul,,No disponible,
Villa Punta Rasa,2,Cayo Guillermo Ciego De Avila,Islazul,,No disponible,
Pullman Cayo Coco,5,Avenida de los Hoteles. Playa las Coloradas. Jardines del Rey. Cayo Coco Ciego De Avila,ACCOR,,No disponible,
Iberostar Daiquiri,4,"Cayo Guillermo, Jardines del Rey. Morón, Ciego de Ávila. Cuba Ciego De Avila",Iberostar,,No disponible,
Iberostar Playa Pilar,5,"Carretera a playa Pilar km 55, Cayo Guillermo. Ciego De Avila",Iberostar,,No disponible,
