name,stars,address,cadena,tarifa,price,hotel_url
E Ordoño,4,"CL J. Peralta Donato Mármol e Independencia, S/N HOLGUIN",Cubanacan,Alojamiento y desayuno,"USD40,00",
Pinares de Mayarí,3,"LG oma la Mesura Pinares de Mayari, S/N HOLGUIN",Gaviota,Alojamiento y desayuno,"USD40,50",
Cayo Saetía,3,"LG Cayo Saetia, S/N HOLGUIN",Gaviota,Alojamiento y desayuno,"USD45,00",
Pernik,3,"AV Avenida Jorge Dimitrov y Plaza de la Revolución,, S/N Holguín",Islazul,Alojamiento y desayuno,"USD47,00",
Club Amigo Atlántico - Guardalavaca,3,"LG Playa Guardalacava, 84170, S/N HOLGUIN",Cubanacan,AI,"USD50,00",
Sol Río De Luna y Mares,4,Playa esmeralda - Crta. De Guardalavaca Holguin,Meliá,All inclusive,"USD107,23",
Paradisus Río de Oro Resort & Spa,5,Playa Esmeralda - Crta. Guardalavaca Holguin,Meliá,All inclusive,"USD171,07",
Villa Mirador de Mayabe,3,Carretera de Mayabe Km 8 Holguin,Islazul,,No disponible,
Hotel Miraflores,2,"Avenida Calixto García % Ave 7 de diciembre y Calle Pedro Agustín, Reparto Miraflores, Moa, Holguin Holguin",Islazul,,No disponible,
Villa El Bosque,2,"Jorge Dimitrov, Esq. a 9na. , Holguín Holguin",Islazul,,No disponible,
