name,stars,address,cadena,tarifa,price,hotel_url
Brisas del Caribe,4,"CR Carretera Las Morlas km 12, 5 Varadero",Cubanacan,Todo Incluido,"USD38,64",
Dos Mares,2,"CL Calle 53 y Avenida 1ra, Varadero, Cárdenas, S/N Varadero",Islazul,Alojamiento y desayuno,"USD43,00",
E Velasco,4,"CL Contreras y Parque de la Libertad, S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",
E Louvre,4,"CL Milanés entre Ayuntamiento y Santa Teresa., S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",
Playa Girón,2,"LG Playa Girón, S/N CIENEGA DE ZAPATA",Cubanacan,CP,"USD44,74",
Mar del Sur,2,"CL 30, entre avenida primera y autopista Sur, 30 Varadero",Islazul,Alojamiento y Desayuno,"USD46,00",
Los Cactus,4,"CR Las Américas, Varadero, S/N Varadero",Cubanacan,Todo incluido,"USD54,00",
Tuxpan,4,"AV Avenida Las Americas, Km 3/2, S/N Varadero",Cubanacan,Todo Incluido,"USD60,00",
Roc Barlovento,4,"AV 1ra. e/ 9 and 12, Matanzas, Varadero, S/N Varadero",Roc Hoteles,Todo incluido,"USD62,37",
Roc Arenas Doradas,4,"VI Varadero Km 12, Varadero, Matanzas, S/N Varadero",Roc Hoteles,Todo incluido,"USD67,57",
Playa Caleta,4,"AV Kawama Final, S/N VARADERO",GranCaribe,Todo incluido,"USD69,00",
Hotel Kawama,3,"CL Calle 1, Reparto Kawama, S/N Varadero",GranCaribe,Todo Inlcuido,"USD70,00",
Palma Real,4,"CL 1era y 64., S/N VARADERO",GranCaribe,Todo incluido,"USD74,00",
Las Morlas,4,"AV Las Américas, (Reparto de la Torre), S/N Varadero",GranCaribe,Todo incluido,"USD79,00",
Club Tropical,3,"AV 1a, entre calle 21 y 23, 1 Varadero",Islazul,Todo Incluido,"USD79,00",
Los Delfines,3,"AV 1a, entre 38 y 39, 1A Varadero",Islazul,Todo incluido,"USD79,00",
Villa Cuba,4,"AV Reparto La Torre, Avenida Las Américas, S/N Varadero",GranCaribe,Todo incluido,"USD81,00",
Sol Varadero Beach All Inclusive,4,"Ave. Las Américas y calle K, Varadero, Matanzas, Cuba Matanzas",Meliá,All inclusive,"USD106,00",
Meliá Las Antillas,4,"Autopista Sur, Carretera las Morlas, Km 14 Matanzas",Meliá,All inclusive,"USD113,17",
Sol Caribe Beach,4,Avda. Las Américas y Calle K Matanzas,Meliá,All inclusive,"USD117,95",
Meliá Peninsula Varadero,5,Parque Natural de Punta Hicacos Matanzas,Meliá,All inclusive,"USD118,22",
Sol Palmeras,4,Carretera de Las Morlas Matanzas,Meliá,All inclusive,"USD141,31",
Meliá Varadero,5,Ctra. de Las Morlas Varadero Matanzas,Meliá,All inclusive,"USD144,06",
Meliá Internacional,5,"Avenida Las Américas, Km 1 Varadero Matanzas",Meliá,All inclusive,"USD186,01",
Paradisus Varadero Resort & Spa,5,Punta Francés Matanzas,Meliá,All inclusive,"USD187,39",
Meliá Las Américas,5,Playa de Las Américas Matanzas,Meliá,All inclusive,"USD205,79",
Playa Vista Azul,5,"AV Autopista Sur, km 11, S/N Varadero",Gaviota,TODO INCLUIDO,"USD283,50",
Paradisus Princesa del Mar Resort & Spa,5,"Autopista Sur , Carretera las Morlas, Km 19 1/2 Matanzas",Meliá,All inclusive,"USD1353,00",
Meliá Marina Varadero,5,"Autopista del Sur y Final, Punta Hicacos Varadero Matanzas",Meliá,,No disponible,
Meliá Marina Varadero Apartments,5,"Autopista del Sur y Final, Punta Hicacos Varadero Matanzas",Meliá,,No disponible,
Hotel Canimao,2,"Carretera vía blanca, KM 4 1/2 Canimar Matanzas",Islazul,,No disponible,
