name,stars,address,cadena,tarifa,price,hotel_url
Club Amigo Costa Sur,3,"CR Playa María Aguilar,Península Ancón.Trinidad.Sancti Spiritus, S/N SANCTI SPIRITUS",Cubanacan,AI,"USD44,00",
Club Amigo Ancón,3,"CR María Aguilar, Península Ancón, Trinidad, S/N TRINIDAD",Cubanacan,AI,"USD46,00",
Cubanacan Las Cuevas,3,"LG Finca Santa Ana, Trinidad, S/N CENTRO HABANA",Cubanacan,Alojamiento y desayuno,"USD48,00",
E La Calesa,4,"CL José Martí e Camilo Cienfuegos y Lino Pérez, S/N Trinidad",Cubanacan,Alojamiento y desayuno,"USD50,00",
E La Ronda,4,"CL José Martí e Lino Pérez y Colón, S/N TRINIDAD",Cubanacan,Alojamiento y desayuno,"USD50,00",
E Mesón del Regidor,3,"CL Simon Bolivar No 426, Trinidad, S/N Trinidad",Cubanacan,Alojamiento y desayuno,"USD87,17",
Hotel Don Florencio,4,"Independencia Sur No. 13, Sancti Spíritus Sancti Spiritus",Islazul,,No disponible,
Hotel Rijo,4,"Honorato del Castillo No. 12, Sancti Spiritus Sancti Spiritus",Islazul,,No disponible,
Villa Los Laureles,3,Carretera Central km 383 Sancti Spiritus,Islazul,,No disponible,
Villa Rancho Hatuey,3,Carretera Central km 383 Sancti Spiritus,Islazul,,No disponible,
Villa San José del Lago,3,Avenida Antonio Guiteras S/N Sancti Spiritus,Islazul,,No disponible,
Hotel Zaza,2,"Finca San José Km 5 ½, Lago Zaza Sancti Spiritus",Islazul,,No disponible,
Iberostar Grand Trinidad,5,Calle José Martí Nro 262. Esq. Lino Pérez Sancti Spiritus,Iberostar,,No disponible,
