name,stars,address,cadena,tarifa,price,hotel_url
E El Cobre,4,"CL Poblado el Cobre, S/N SANTIAGO DE CUBA",Cubanacan,Alojamiento y desayuno,"USD40,00",
Gaviota Santiago,3,"AV Avenida Manduley No. 502 e/ 19 y 21, S/N Santiago de Cuba",Gaviota,Alojamiento y desayuno,"USD40,50",
Rex,3,"AV Garzón, e/ Pizarro y Perez Carbo, 10 ALTOS, S/N Santiago de Cuba",Islazul,Alojamiento y desayuno,"USD42,00",
Club Amigo Carisol,3,"CR Baconao km. 51, S/N SANTIAGO DE CUBA",Cubanacan,AI,"USD44,00",
Cubanacan Imperial,4,"CL Enramadas, Esq. Santo Tomás, S/N SANTIAGO DE CUBA",Cubanacan,Alojamiento y desayuno,"USD50,00",
Brisas Sierra Mar,4,"CR Carretera a Chivirico km 60, S/N SANTIAGO DE CUBA",Cubanacan,AI,"USD54,51",
Meliá Santiago de Cuba,0,Avd. de las Américas y Calle M Santiago,Meliá,Bed & breakfast,"USD104,21",
Hotel Libertad,3,Aguilera y Plaza de Marte Santiago,Islazul,,No disponible,
Hotel Gran Piedra,2,Carretera km 14 s/n Santiago de Cuba Santiago,Islazul,,No disponible,
Hotel Las Américas,3,Avenida Las Américas esq General Cebreco. Santiago,Islazul,,No disponible,
Hotel Costa Morena,2,"Carretera Baconao km 38 ½, Sigua, Santiago de Cuba Santiago",Islazul,,No disponible,
Hotel Rancho Club,3,"Altos de Quintero, Santiago de Cuba Santiago",Islazul,,No disponible,
Hotel Deportivo,3,"Calle E, Reparto Terrazas, Santiago de Cuba. Santiago",Islazul,,No disponible,
Hotel San Juan,3,Ctra de Siboney km 1 1/2 Vista Alegre Santiago,Islazul,,No disponible,
Hotel Balcón del Caribe,2,Ctra del Morro km 7 1/2. Stgo de Cuba Santiago,Islazul,,No disponible,
