name,stars,address,cadena,tarifa,price,hotel_url
Brisas Santa Lucía,4,Avenida Turística SANTIAGO DE CUBA,Cubanacan,Todo Incluido,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52937&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E La Avellaneda,4,"CL Calle República 226, Ignacio Agramonte y Callejón del Castellano, S/N CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52986&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Gran Hotel,3,"CL Maceo No. 67 entre Ignacio Agramonte y General Gómez, S/N Camagüey",Islazul,Alojamiento y desayuno,"USD56,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53199&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E La Sevillana,4,"CL Cisneros n 221 e Hermanos Agüero y Martí, S/N CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD63,12",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53001&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
GRAN HOTEL managed by Meliá Hotels International,3,Maceo No. 64 e/ General Gómez e Ignacio Agramonte Camaguey,Meliá,,No disponible,
HOTEL COLÓN managed by Meliá Hotels International,3,República no. 472 e/ San José y San Martín Camagüey Camaguey,Meliá,,No disponible,
Hotel Tararaco,2,"Avenida Tararaco, Playa Santa Lucía. Camagüey",Islazul,,No disponible,
Hotel Colón,2,República No. 267 Camagüey,Islazul,,No disponible,
Hotel Camagüey,2,"Carretera central km 4 ½ Jayamá, Camagüey Camagüey",Islazul,,No disponible,
Hotel Isla de Cuba,2,"San Esteban No.453, esq. Popular Camagüey",Islazul,,No disponible,
Hotel Puerto Príncipe,2,"Ave. de los Mártires No.60 e/ Rotario y Andrés Sánchez, Camagüey Camagüey",Islazul,,No disponible,
Hotel Plaza,2,"Calle Van Horne, No. 1 e/ República y Avellaneda, Camagüey, Cuba Camagüey",Islazul,,No disponible,
Hotel Florida,2,"Carretera Central, km 536, Florida, Camagüey Camagüey",Islazul,,No disponible,
Hotel Caonaba,1,Bahia de Nuevitas Camaguey Camagüey,Islazul,,No disponible,
Hotel Costa Blanca,1,"Calle Segunda, Residencial Sta.Lucia Camagüey",Islazul,,No disponible,
