name,stars,address,cadena,tarifa,price,hotel_url
La Casona,3,"CL Cristobal Colon #41, Morón, Ciego de Ávila, S/N Ciego de Ávila",Islazul,Alojamiento y desayuno,"USD35,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53200&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Meliá Cayo Coco,0,Jardines del Rey Ciego De Avila,Meliá,,No disponible,
Sol Cayo Coco,4,"Jardines del Rey, s/n Ciego De Avila",Meliá,,No disponible,
TRYP Cayo Coco,4,Jardines Del Rey Moron Ciego De Avila,Meliá,,No disponible,
Meliá Jardines del Rey,5,"Highway to Cayo Guillermo km 9, Flamenco Beach, Cayo Coco Ciego De Avila",Meliá,,No disponible,
Hotel Sitio La Güira,2,"Cayo Coco, Cuba Sitio La Guira Ciego De Avila",Islazul,,No disponible,
Hotel Morón,2,"Avenida de Tarafa, Morón, Ciego de Ávila Ciego De Avila",Islazul,,No disponible,
Hotel San Fernando,2,"Avenida de Tarafa, Morón, Ciego de Ávila, Cuba Ciego De Avila",Islazul,,No disponible,
Villa Punta Rasa,2,Cayo Guillermo Ciego De Avila,Islazul,,No disponible,
Pullman Cayo Coco,5,Avenida de los Hoteles. Playa las Coloradas. Jardines del Rey. Cayo Coco Ciego De Avila,ACCOR,,No disponible,
