name,stars,address,cadena,tarifa,price,hotel_url
Bello Caribe,3,"CL 158 Ave 31, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD36,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52955&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Deauville,3,"CL Calle Galiano No. 1 / Malecón y San Lázaro, Centro Habana, S/N La Habana",GranCaribe,Alojamiento y desayuno,"USD36,58",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;34640&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Mariposa,2,"CR Autopista Novia del Mediodía km 6 1/2, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD37,49",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52996&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Marazul,2,"AV Av. Banderas y Las Terrazas, S/N Santa Maria del Mar., S/N La Habana",Cubanacan,Todo Incluido,"USD37,51",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;50217&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Hotel Vedado,3,"Calle O entre 23 y 25, Plaza de la Revolución. El Vedado",GranCaribe,Alojamiento y desayuno,"USD39,05",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;48796&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Hotel Saint John´s,3,"CL Calle O entre 23 y 25, S/N El Vedado",GranCaribe,Alojamiento y desayuno,"USD42,72",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;51783&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Copacabana,3,"CL 1ra entre 44 y 46, Miramar, Playa., 4404, S/N",Cubanacan,Alojamiento y desayuno,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53059&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Chateau Miramar,4,"CL 1ra e/ 60 y 62. Miramar, S/N PLAYA",Cubanacan,Alojamiento y desayuno,"USD46,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53008&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Tulipán,3,"CL Factor S/N y Tulipan, Plaza de la revolución, S/N La Habana",Islazul,Alojamiento y desayuno,"USD48,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52888&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Kohly,3,"CL 49A y/and 36A, Kohly, S/N PLAYA",Gaviota,Alojamiento y desayuno,"USD49,50",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46651&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Cubanacan Comodoro,4,"CL 3era y 84, Miramar, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD50,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52936&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Lido,2,"CL Consulado, entre Anima y Trocadero, 216 La Habana Vieja",Islazul,Alojamiento y desayuno,"USD53,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52891&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Caribbean,3,"CL Prado, entre Colon y Refujio, 164 La Habana Vieja",Islazul,Alojamiento y desayuno,"USD56,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52892&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Valencia,4,"CL Calle Oficios #53 esq. a Obrapía, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD56,25",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46661&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Plaza,4,"CL Ignacio Agramonte, 267 La Habana",GranCaribe,Alojamiento y desayuno,"USD58,10",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;23374&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Roc Presidente,4,"CL Calzada / Esquina Avenida de los Presidentes, 110 LA HABANA",Roc Hoteles,Alojamiento con desayuno incluido,"USD59,12",
