name,stars,address,cadena,tarifa,price,hotel_url
Hotel Kawama,3,"CL Calle 1, Reparto Kawama, S/N Varadero",GranCaribe,Todo Inlcuido,"USD40,42",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52852&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Playa Caleta,4,"AV Kawama Final, S/N VARADERO",GranCaribe,Todo incluido,"USD40,71",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53102&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Dos Mares,2,"CL Calle 53 y Avenida 1ra, Varadero, Cárdenas, S/N Varadero",Islazul,Alojamiento y desayuno,"USD43,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53230&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Palma Real,4,"CL 1era y 64., S/N VARADERO",GranCaribe,Todo incluido,"USD43,66",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53120&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E Velasco,4,"CL Contreras y Parque de la Libertad, S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52954&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E Louvre,4,"CL Milanés entre Ayuntamiento y Santa Teresa., S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53115&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Playa Girón,2,"LG Playa Girón, S/N CIENEGA DE ZAPATA",Cubanacan,CP,"USD44,74",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52949&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Mar del Sur,2,"CL 30, entre avenida primera y autopista Sur, 30 Varadero",Islazul,Alojamiento y Desayuno,"USD46,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52896&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Villa Cuba,4,"AV Reparto La Torre, Avenida Las Américas, S/N Varadero",GranCaribe,Todo incluido,"USD47,79",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53051&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Los Cactus,4,"CR Las Américas, Varadero, S/N Varadero",Cubanacan,Todo incluido,"USD54,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53057&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
