name,stars,address,cadena,tarifa,price,hotel_url
E Barcelona,4,"José Antonio Peña #41/Maceo y La Pastora,Remedios, Villa Clara, Cuba. VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD37,79",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52953&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Horizontes Los Caneyes,3,"AV Los Eucaliptos y Circunvalación, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD40,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52932&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E Sagua,4,"CL Carmen Ribalta entre Clara Balton y Marti, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD42,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52968&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
E Central Villa Clara,4,"CL Calle Parque e/ Padre Chao y Marta Abreus Reparto Pastora, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD44,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;51579&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Hanabanilla,3,"LG El Salto, S/N Santa Clara",Islazul,Alojamiento y desayuno,"USD46,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52900&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Cubanacan América,3,"CL Maceo y Colón, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD50,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52958&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Iberostar Selection Ensenachos,5,Cayo Ensenachos Villa Clara,Iberostar,Todo Incluido,"USD111,72",
Sol Cayo Santa María,4,Cayo Santa María Villa Clara,Meliá,,No disponible,
Meliá Cayo Santa María,5,Cayo Santa María - Jardines del Rey Villa Clara,Meliá,,No disponible,
Meliá Las Dunas,5,"Cayo Santa María, Jardines del Rey Villa Clara",Meliá,,No disponible,
Meliá Buenavista,5,"Cuba, No 6 Cayo Santa María - Villa Clara Villa Clara",Meliá,,No disponible,
Paradisus Los Cayos,5,"Cayo Santa María, km 48, Jardines del Rey, Caibarién Villa Clara",Meliá,,No disponible,
