exp,nights,budget,destino,pso_num_particles,pso_alpha,pso_beta,pso_gamma,pso_fitness,aco_num_ants,aco_evaporation,aco_alpha,aco_beta,aco_gamma,aco_fitness
1,7,1391,Cienfuegos,47,1.0536097513566036,1.1519112536501008,0.7944789949932959,0.02009404847806806,19,0.30155070651908245,1.4037345169345623,0.7507980597468045,0.8454674233186333,0.7895297166670003
2,8,780,Cienfuegos,18,0.4543470405457585,1.1153600421130792,1.4302929173411623,-0.15430115301972902,28,0.20825066099707756,1.1003815052855648,0.8234050530606963,1.0762134416537388,0.6178653466792259
3,6,207,La Habana,43,1.2364456941530886,0.866719876518981,0.8968344293279303,0.7281944267574919,45,0.34041512259231826,0.9785354763106573,1.1220381949095308,0.8994263287798121,0.38782513896302784
4,8,1262,Santiago,45,0.9071333169582915,1.1146041075951458,0.9782625754465627,-0.03542684759528253,24,0.11398980534472117,0.5327776706647692,0.9900856736967063,1.4771366556385246,0.3078356587405605
5,3,356,Santa Maria,25,0.7452106585039444,1.3171168537326667,0.9376724877633884,0.30051641201179863,22,0.712723885053422,0.9408464778173257,0.7333007425057757,1.3258527796768989,0.3832561532836965
6,5,725,Camagüey,43,1.2187847242162104,0.6817818424611876,1.0994334333226015,0.3213404695046148,35,0.4659411998019062,1.0819537022886074,1.071766225014486,0.8462800726969067,-0.03697701712868107
7,10,1079,Santa Maria,19,0.7711452861326418,1.1970948189806656,1.0317598948866928,0.42761821620117435,27,0.6762931397294191,1.0069914302233305,0.9384774254744487,1.0545311443022212,0.5726377548764964
8,3,818,Ciego de Ávila,22,0.532992097905845,1.2888062354801044,1.1782016666140505,0.34872735587132153,30,0.10228277852392556,1.1933713460539181,1.4146877531302315,0.39194090081585026,-0.176350781671196
9,3,517,La Habana,42,1.3706996674148502,0.8162534644721574,0.8130468681129926,0.37162685121035544,12,0.24442634578950628,0.8092835415024889,0.9103068875623122,1.2804095709351986,0.5836300031771834
10,7,383,Camagüey,50,1.2780296670030453,0.7765813175040844,0.9453890154928706,0.7385872705710702,50,0.5647935556531949,0.8382948615246487,1.0264405588854735,1.1352645795898777,0.24598059876246248
11,3,472,Ciego de Ávila,44,0.9684240094475973,0.8060723252992065,1.2255036652531959,0.6879193200331682,48,0.16090076635901412,1.1454849870938129,1.1970425086107188,0.6574725042954683,0.38676521258285745
12,10,249,Camagüey,41,1.3302838106111976,0.7651547844589518,0.9045614049298504,0.772809240860802,46,0.1882223841079143,0.8441288486859512,0.9007256502810886,1.2551455010329604,0.4324842013194963
