name,stars,address,cadena,tarifa,price,hotel_url,destino
Bello Caribe,3,"CL 158 Ave 31, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD37,49",,La Habana
Mariposa,2,"CR Autopista Novia del Mediodía km 6 1/2, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD37,49",,La Habana
Marazul,2,"AV Av. Banderas y Las Terrazas, S/N Santa Maria del Mar., S/N La Habana",Cubanacan,Todo Incluido,"USD44,00",,La Habana
Cubanacan Club Acuario,3,"CL Calle 248 y 5ta , Santa Fe, Playa, S/N LA HABANA",Cubanacan,Sólo alojamiento,"USD44,00",,La Habana
Copacabana,3,"CL 1ra entre 44 y 46, Miramar, Playa., 4404, S/N",Cubanacan,Alojamiento y desayuno,"USD44,00",,La Habana
Chateau Miramar,4,"CL 1ra e/ 60 y 62. Miramar, S/N PLAYA",Cubanacan,Alojamiento y desayuno,"USD46,00",,La Habana
Tulipán,3,"CL Factor S/N y Tulipan, Plaza de la revolución, S/N La Habana",Islazul,Alojamiento y desayuno,"USD48,00",,La Habana
Kohly,3,"CL 49A y/and 36A, Kohly, S/N PLAYA",Gaviota,Alojamiento y desayuno,"USD49,50",,La Habana
Cubanacan Comodoro,4,"CL 3era y 84, Miramar, S/N LA HABANA",Cubanacan,Alojamiento y desayuno,"USD50,00",,La Habana
Lido,2,"CL Consulado, entre Anima y Trocadero, 216 La Habana Vieja",Islazul,Alojamiento y desayuno,"USD53,00",,La Habana
Caribbean,3,"CL Prado, entre Colon y Refujio, 164 La Habana Vieja",Islazul,Alojamiento y desayuno,"USD56,00",,La Habana
Valencia,4,"CL Calle Oficios #53 esq. a Obrapía, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD56,25",,La Habana
El Comendador,3,"CL Calle Obrapia #55esq. a Baratillo, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD60,00",,La Habana
Deauville,3,"CL Calle Galiano No. 1 / Malecón y San Lázaro, Centro Habana, S/N La Habana",GranCaribe,Alojamiento y desayuno,"USD62,00",,La Habana
Los Frailes,3,"CL Calle Teniente Rey, entre Oficios y Mercaderes, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD63,00",,La Habana
Ambos Mundos,4,"CL Calle Obispo esquina a Mercaderes, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD67,50",,La Habana
Roc Presidente,4,"CL Calzada / Esquina Avenida de los Presidentes, 110 LA HABANA",Roc Hoteles,Alojamiento con desayuno incluido,"USD67,57",,La Habana
Hotel Vedado,3,"Calle O entre 23 y 25, Plaza de la Revolución. El Vedado",GranCaribe,Alojamiento y desayuno,"USD71,00",,La Habana
Armadores de Santander,4,"CL Calle Luz #4 esq. a San Pedro, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD72,00",,La Habana
Hotel Saint John´s,3,"CL Calle O entre 23 y 25, S/N El Vedado",GranCaribe,Alojamiento y desayuno,"USD89,00",,La Habana
Palacio de los Corredores,5,"CL Oficios 154 Plaza de San Francisco, entre Teniente Rey y Amargura, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",,La Habana
Palacio Cueto,5,"CL Inquisidor No. 351-353 esquina a Muralla, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",,La Habana
Marqués de Cárdenas de Montehermoso,5,"CL Oficios No. 110 entre Amargura y Lamparilla, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",,La Habana
Santa Isabel,5,"CL Baratillo,entre Obispo y Narciso López, 9 La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",,La Habana
Palacio del Marqués de San Felipe y Santiago de Bejucal,5,"CL Oficios, esquina a Amargura, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",,La Habana
Plaza,4,"CL Ignacio Agramonte, 267 La Habana",GranCaribe,Alojamiento y desayuno,"USD92,00",,La Habana
Roc El Viejo y El Mar,4,"AV 5ta y 248, Santa Fe, Playa, S/N LA HABANA",Roc Hoteles,Alojamiento con desayuno incluido,"USD93,15",,La Habana
Hotel Vedado 500,3,"CL Calle 17 entre L y M, S/N LA HABANA",GranCaribe,Alojamiento y desayuno,"USD98,00",,La Habana
TRYP Habana Libre,5,23 Calle L E 23 Y 25 Havana,Meliá,Room only,"USD100,43",,La Habana
Meliá Cohiba,5,Ave. Paseo entre 1ª y 3ª Vedado Havana,Meliá,Room only,"USD154,22",,La Habana
Hotel Nacional de Cuba,5,"CL Esquina 21 y O, Vedado, Plaza, S/N LA HABANA",GranCaribe,Alojamiento y Desayuno,"USD156,00",,La Habana
Meliá Habana,5,Ave. 3Era. E/ 76 Y 80 Miramar Havana,Meliá,Room only,"USD157,90",,La Habana
Hotel Colina,2,Calle L e/ 27 y Jovellar vedado La Habana,Islazul,,No disponible,,La Habana
Villa Bacuranao,2,Vía Blanca Km 15 ½ La Habana,Islazul,,No disponible,,La Habana
Hotel Panamericano,2,CALLE A Y AVE.CENTRAL. COJIMAR. La Habana,Islazul,,No disponible,,La Habana
Hotel Bella Habana,3,CALLE CONILL E/ AVE. BOYEROS Y MARINO La Habana,Islazul,,No disponible,,La Habana
NH Capri La Habana,4,Ave. 21 esq. N. Vedado La Habana,HOTELES NH,,No disponible,,La Habana
NH Collection Victoria La Habana,4,"calle 19 No. 101 entre L y M, Vedado La Habana",HOTELES NH,,No disponible,,La Habana
Hotel Lincoln,3,"Virtudes No.157 esq. a Galiano, Centro Habana La Habana",Islazul,,No disponible,,La Habana
Hostel Vedado Azul,2,"Calle 2 e/ 23 y 25 Vedado, Plaza de la Revolución La Habana",Islazul,,No disponible,,La Habana
Iberostar Parque Central,5,"Neptuno entre Prado y Zulueta, Habana Vieja La Habana",Iberostar,,No disponible,,La Habana
Brisas del Caribe,4,"CR Carretera Las Morlas km 12, 5 Varadero",Cubanacan,Todo Incluido,"USD38,64",,Varadero
Dos Mares,2,"CL Calle 53 y Avenida 1ra, Varadero, Cárdenas, S/N Varadero",Islazul,Alojamiento y desayuno,"USD43,00",,Varadero
E Velasco,4,"CL Contreras y Parque de la Libertad, S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",,Varadero
E Louvre,4,"CL Milanés entre Ayuntamiento y Santa Teresa., S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",,Varadero
Playa Girón,2,"LG Playa Girón, S/N CIENEGA DE ZAPATA",Cubanacan,CP,"USD44,74",,Varadero
Mar del Sur,2,"CL 30, entre avenida primera y autopista Sur, 30 Varadero",Islazul,Alojamiento y Desayuno,"USD46,00",,Varadero
Los Cactus,4,"CR Las Américas, Varadero, S/N Varadero",Cubanacan,Todo incluido,"USD54,00",,Varadero
Tuxpan,4,"AV Avenida Las Americas, Km 3/2, S/N Varadero",Cubanacan,Todo Incluido,"USD60,00",,Varadero
Roc Barlovento,4,"AV 1ra. e/ 9 and 12, Matanzas, Varadero, S/N Varadero",Roc Hoteles,Todo incluido,"USD62,37",,Varadero
Roc Arenas Doradas,4,"VI Varadero Km 12, Varadero, Matanzas, S/N Varadero",Roc Hoteles,Todo incluido,"USD67,57",,Varadero
Playa Caleta,4,"AV Kawama Final, S/N VARADERO",GranCaribe,Todo incluido,"USD69,00",,Varadero
Hotel Kawama,3,"CL Calle 1, Reparto Kawama, S/N Varadero",GranCaribe,Todo Inlcuido,"USD70,00",,Varadero
Palma Real,4,"CL 1era y 64., S/N VARADERO",GranCaribe,Todo incluido,"USD74,00",,Varadero
Las Morlas,4,"AV Las Américas, (Reparto de la Torre), S/N Varadero",GranCaribe,Todo incluido,"USD79,00",,Varadero
Club Tropical,3,"AV 1a, entre calle 21 y 23, 1 Varadero",Islazul,Todo Incluido,"USD79,00",,Varadero
Los Delfines,3,"AV 1a, entre 38 y 39, 1A Varadero",Islazul,Todo incluido,"USD79,00",,Varadero
Villa Cuba,4,"AV Reparto La Torre, Avenida Las Américas, S/N Varadero",GranCaribe,Todo incluido,"USD81,00",,Varadero
Sol Varadero Beach All Inclusive,4,"Ave. Las Américas y calle K, Varadero, Matanzas, Cuba Varadero",Meliá,All inclusive,"USD106,00",,Varadero
Meliá Las Antillas,4,"Autopista Sur, Carretera las Morlas, Km 14 Varadero",Meliá,All inclusive,"USD113,17",,Varadero
Sol Caribe Beach,4,Avda. Las Américas y Calle K Varadero,Meliá,All inclusive,"USD117,95",,Varadero
Meliá Peninsula Varadero,5,Parque Natural de Punta Hicacos Varadero,Meliá,All inclusive,"USD118,22",,Varadero
